Timestamp; Read by categoriser; Remaining in queue
852411;1000;0
852918;1000;0
853423;1000;0
853927;1000;0
854429;1000;0
854944;1000;0
855458;1000;0
855958;1000;0
856471;1000;0
856986;1000;0
857487;1000;0
857992;1000;0
858504;1000;0
859007;1000;0
859520;1000;0
860034;1000;0
860546;1000;0
861050;1000;0
861564;1000;0
862069;1000;0
862572;1000;0
863085;1000;0
863585;1000;0
864098;1000;0
864612;1000;0
865126;1000;0
865639;1000;0
866139;1000;0
866652;1000;0
867154;1000;0
867666;1000;0
868167;1000;0
868673;1000;0
869175;1000;0
869680;1000;0
870181;1000;0
870689;1000;0
871189;1000;0
871692;1000;0
