Timestamp; Q1; Q2; Q3; Q4; Expirados
260895;15;28;45;14063;55844
260905;15;28;45;14063;55844
261401;23;43;63;14193;55844
261908;0;0;0;13322;55844
261909;0;0;0;13322;55844
262417;4;5;17;13387;55844
262918;0;0;0;12413;55844
262922;2;16;19;12479;55844
263426;2;16;19;12479;55844
263929;0;0;0;11516;55844
263934;5;14;26;11600;55844
264439;21;49;67;11858;55844
264936;0;0;0;10995;55844
264941;0;0;0;10995;55844
265444;1;4;22;11062;55844
265943;0;0;0;10089;55844
265947;0;0;0;10089;55844
266454;8;9;21;10181;55844
266957;0;0;0;9219;55844
266961;13;14;28;9329;55844
267467;31;40;61;9490;55844
267963;0;0;0;8622;55844
267967;3;7;10;8665;55844
268478;5;17;23;8741;55844
268967;0;0;0;7786;55844
268986;0;0;0;7786;55844
269491;11;18;19;7937;55844
269979;0;0;0;6985;55844
269995;0;0;0;6985;55844
270505;16;29;37;7211;55844
270980;0;0;0;6293;55844
271015;14;14;21;6378;55844
271523;25;39;39;6511;55844
271991;0;0;0;5614;55844
272025;15;16;26;5737;55844
272531;24;36;60;5867;55844
273000;0;0;0;4987;55844
273034;0;0;0;4987;55844
273541;12;20;34;5135;55844
274009;0;0;0;4201;55844
274042;20;22;39;4402;55844
274545;20;22;39;4402;55844
275017;0;0;0;3483;55844
275050;5;10;19;3581;55844
275556;10;20;44;3666;55844
276029;0;0;0;2740;55844
276064;0;0;0;2740;55844
276580;0;7;6;2789;55844
277035;0;0;0;1802;55844
277085;5;10;14;1870;55844
277589;12;32;41;2013;55844
278043;0;0;0;1098;55844
278093;0;0;0;1098;55844
278597;4;12;11;1149;55844
279051;0;0;0;176;55844
279103;14;31;37;362;55844
279610;14;31;37;362;55844
280065;0;0;0;0;55288
280115;9;11;25;106;55288
280619;17;28;52;222;55288
281074;0;0;0;0;54607
281124;0;0;0;0;54607
281627;10;34;39;184;54607
282082;0;0;0;0;53874
282134;21;40;54;265;53874
282640;21;40;54;265;53874
283093;0;0;0;0;53254
283146;1;7;18;100;53254
283652;7;13;30;153;53254
284093;0;0;0;0;52457
284160;0;0;0;0;52457
284673;16;28;42;229;52457
285097;0;0;0;0;51772
285179;8;15;29;114;51772
285682;11;21;32;187;51772
286104;0;0;0;0;51023
286186;9;20;30;129;51023
286685;9;20;30;129;51023
287118;0;0;0;0;50211
287201;1;15;10;110;50211
287713;1;15;10;110;50211
288124;0;0;0;0;49347
288226;16;24;36;214;49347
288723;19;30;46;257;49347
289134;0;0;0;0;48699
289232;0;0;0;0;48699
289746;7;1;16;47;48699
290140;0;0;0;0;47770
290252;8;26;35;128;47770
290757;17;39;49;235;47770
291150;0;0;0;0;47110
291267;5;7;21;51;47110
291774;9;14;35;109;47110
292165;0;0;0;0;46277
292277;4;10;9;68;46277
292780;4;10;9;68;46277
293174;0;0;0;0;45368
293288;16;20;39;168;45368
293801;16;20;39;168;45368
294176;0;0;0;0;44611
294306;19;41;54;241;44611
294809;24;50;67;288;44611
295189;0;0;0;0;44040
295319;5;10;16;98;44040
295821;5;10;16;98;44040
296197;0;0;0;0;43169
296330;3;3;17;57;43169
296837;17;27;39;183;43169
297198;0;0;0;0;42435
297345;7;17;16;110;42435
297851;17;32;35;235;42435
298212;0;0;0;0;41754
298359;13;18;20;122;41754
298859;19;35;47;249;41754
299219;0;0;0;0;41104
299364;0;0;0;0;41104
299880;4;8;10;70;41104
300229;0;0;0;0;40196
300397;8;33;57;196;40196
300901;12;41;72;277;40196
301243;0;0;0;0;39598
301405;0;0;0;0;39598
301915;2;9;16;82;39598
302258;0;0;0;0;38707
302421;9;10;28;71;38707
302929;9;10;28;71;38707
303260;0;0;0;0;37825
303439;13;22;28;127;37825
303940;20;33;47;210;37825
304268;0;0;0;0;37135
304444;2;13;10;66;37135
304949;20;41;53;272;37135
305275;0;0;0;0;36521
305465;9;9;16;78;36521
305967;11;17;34;129;36521
306278;0;0;0;0;35712
306468;8;14;22;91;35712
306976;15;25;43;211;35712
307287;0;0;0;0;35006
307478;10;15;20;94;35006
